block_id,block_start_week_idx,block_end_week_idx,block_start,block_end,slot,slot_1based,support_class,side,position,position_1based,mass_mean,top1_number,top1_share,top2_number,top2_share,top1_margin,entropy_half,same_top1_prev,same_position_prev,raw_top1_exact_p,slot_gap_pred,group_id,group_numbers_json,group_size,raw_group_share_in_half,raw_group_p,selected_number_in_group,selected_number,raw_selected_exact_p,base_gate_id
0,8,20,2020-03-02,2020-05-31,192,193,control,big,2,3,0.5437478515715182,8,0.24915634442886145,10,0.21253893941901722,0.03661740500984423,1.5903133342956268,False,False,0.13547822698860662,0.07645646994317179,edge_low,"[6, 7]",2,0.344737902638649,0.1874504939150366,6,6,0.11508251858047581,control|big|edge_low|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,192,193,control,big,2,3,0.5437478515715182,8,0.24915634442886145,10,0.21253893941901722,0.03661740500984423,1.5903133342956268,False,False,0.13547822698860662,0.07645646994317179,center,[8],1,0.24915634442886145,0.13547822698860662,8,8,0.13547822698860662,control|big|center|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,192,193,control,big,2,3,0.5437478515715182,8,0.24915634442886145,10,0.21253893941901722,0.03661740500984423,1.5903133342956268,False,False,0.13547822698860662,0.07645646994317179,edge_high,"[9, 10]",2,0.40610575293248957,0.22081913066787498,10,10,0.11556759168437966,control|big|edge_high|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,192,193,control,small,8,9,0.5327086183716536,2,0.222007233041966,4,0.21975369524827196,0.002253537793694055,1.6009566996289244,False,False,0.11826516638229945,0.07645646994317179,edge_low,"[1, 2]",2,0.3825977302628625,0.2038131082804601,2,2,0.11826516638229945,control|small|edge_low|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,192,193,control,small,8,9,0.5327086183716536,2,0.222007233041966,4,0.21975369524827196,0.002253537793694055,1.6009566996289244,False,False,0.11826516638229945,0.07645646994317179,center,[3],1,0.17795594991759353,0.09479866821161644,3,3,0.09479866821161644,control|small|center|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,192,193,control,small,8,9,0.5327086183716536,2,0.222007233041966,4,0.21975369524827196,0.002253537793694055,1.6009566996289244,False,False,0.11826516638229945,0.07645646994317179,edge_high,"[4, 5]",2,0.4394463198195441,0.23409684187957716,4,4,0.11706468737777238,control|small|edge_high|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,384,385,control,big,1,2,0.5656615080389858,6,0.21873430807723884,7,0.21233118021911368,0.006403127858125163,1.6057156406741036,False,False,0.12372957856683504,0.11441199417830111,edge_low,"[6, 7]",2,0.4310654882963525,0.24383715417327656,6,6,0.12372957856683504,control|big|edge_low|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,384,385,control,big,1,2,0.5656615080389858,6,0.21873430807723884,7,0.21233118021911368,0.006403127858125163,1.6057156406741036,False,False,0.12372957856683504,0.11441199417830111,center,[8],1,0.17650132545063796,0.0998400059252877,8,8,0.0998400059252877,control|big|center|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,384,385,control,big,1,2,0.5656615080389858,6,0.21873430807723884,7,0.21233118021911368,0.006403127858125163,1.6057156406741036,False,False,0.12372957856683504,0.11441199417830111,edge_high,"[9, 10]",2,0.3924331862530095,0.22198434794042157,9,9,0.11886669962111049,control|big|edge_high|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,384,385,control,small,6,7,0.5487504861393153,3,0.24345879983280216,1,0.22736103913883252,0.016097760693969648,1.5985010297370603,False,False,0.13359813476314444,0.11441199417830111,edge_low,"[1, 2]",2,0.4125091846351164,0.2263646156054527,1,1,0.12476448075657424,control|small|edge_low|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,384,385,control,small,6,7,0.5487504861393153,3,0.24345879983280216,1,0.22736103913883252,0.016097760693969648,1.5985010297370603,False,False,0.13359813476314444,0.11441199417830111,center,[3],1,0.24345879983280216,0.13359813476314444,3,3,0.13359813476314444,control|small|center|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,384,385,control,small,6,7,0.5487504861393153,3,0.24345879983280216,1,0.22736103913883252,0.016097760693969648,1.5985010297370603,False,False,0.13359813476314444,0.11441199417830111,edge_high,"[4, 5]",2,0.3440320155320815,0.1887877357707182,4,4,0.09608092217467239,control|small|edge_high|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,576,577,late,big,7,8,0.5300099228689136,9,0.22763627140856613,6,0.20508532984938413,0.022550941559181997,1.605092097275039,False,False,0.12064948265142121,0.06426960998688469,edge_low,"[6, 7]",2,0.40984603388894336,0.21722246480960902,6,6,0.10869725985501778,late|big|edge_low|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,576,577,late,big,7,8,0.5300099228689136,9,0.22763627140856613,6,0.20508532984938413,0.022550941559181997,1.605092097275039,False,False,0.12064948265142121,0.06426960998688469,center,[8],1,0.17096702638401695,0.09061422046692033,8,8,0.09061422046692033,late|big|center|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,576,577,late,big,7,8,0.5300099228689136,9,0.22763627140856613,6,0.20508532984938413,0.022550941559181997,1.605092097275039,False,False,0.12064948265142121,0.06426960998688469,edge_high,"[9, 10]",2,0.4191869397270397,0.22217323759238422,9,9,0.12064948265142121,late|big|edge_high|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,576,577,late,small,2,3,0.5342596871179711,2,0.23771218561789847,1,0.22259853356007941,0.01511365205781906,1.6004041594074025,False,False,0.1270000379123475,0.06426960998688469,edge_low,"[1, 2]",2,0.4603107191779779,0.24592546080507474,2,2,0.1270000379123475,late|small|edge_low|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,576,577,late,small,2,3,0.5342596871179711,2,0.23771218561789847,1,0.22259853356007941,0.01511365205781906,1.6004041594074025,False,False,0.1270000379123475,0.06426960998688469,center,[3],1,0.16630409376417504,0.08884957310088588,3,3,0.08884957310088588,late|small|center|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,576,577,late,small,2,3,0.5342596871179711,2,0.23771218561789847,1,0.22259853356007941,0.01511365205781906,1.6004041594074025,False,False,0.1270000379123475,0.06426960998688469,edge_high,"[4, 5]",2,0.3733851870578473,0.19948465321201062,4,4,0.10506999798869456,late|small|edge_high|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,768,769,control,big,4,5,0.5391541864125924,6,0.25037384103613003,7,0.2263277181765676,0.024046122859562424,1.584072150595953,False,False,0.13499010456283042,0.07421795916356949,edge_low,"[6, 7]",2,0.47670155921269763,0.2570156413189362,6,6,0.13499010456283042,control|big|edge_low|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,768,769,control,big,4,5,0.5391541864125924,6,0.25037384103613003,7,0.2263277181765676,0.024046122859562424,1.584072150595953,False,False,0.13499010456283042,0.07421795916356949,center,[8],1,0.21163629295507674,0.11410459334357145,8,8,0.11410459334357145,control|big|center|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,768,769,control,big,4,5,0.5391541864125924,6,0.25037384103613003,7,0.2263277181765676,0.024046122859562424,1.584072150595953,False,False,0.13499010456283042,0.07421795916356949,edge_high,"[9, 10]",2,0.3116621478322256,0.1680339517500847,10,10,0.10167926654821569,control|big|edge_high|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,768,769,control,small,3,4,0.535063772750977,5,0.23654575512374637,3,0.2177812181024391,0.01876453702130726,1.5882871306009776,False,False,0.1265670641647405,0.07421795916356949,edge_low,"[1, 2]",2,0.3349816337847622,0.17923653677516102,1,1,0.11281798087226153,control|small|edge_low|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,768,769,control,small,3,4,0.535063772750977,5,0.23654575512374637,3,0.2177812181024391,0.01876453702130726,1.5882871306009776,False,False,0.1265670641647405,0.07421795916356949,center,[3],1,0.2177812181024391,0.11652684019219445,3,3,0.11652684019219445,control|small|center|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,768,769,control,small,3,4,0.535063772750977,5,0.23654575512374637,3,0.2177812181024391,0.01876453702130726,1.5882871306009776,False,False,0.1265670641647405,0.07421795916356949,edge_high,"[4, 5]",2,0.4472371481127986,0.23930039578362153,5,5,0.1265670641647405,control|small|edge_high|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,960,961,late,big,0,1,0.5751254094330369,6,0.252902789363415,8,0.21213721196956004,0.040765577393854946,1.5958876693429018,False,False,0.14545082027939113,0.11301342394127156,edge_low,"[6, 7]",2,0.44565867879017274,0.25630963010658436,6,6,0.14545082027939113,late|big|edge_low|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,960,961,late,big,0,1,0.5751254094330369,6,0.252902789363415,8,0.21213721196956004,0.040765577393854946,1.5958876693429018,False,False,0.14545082027939113,0.11301342394127156,center,[8],1,0.21213721196956004,0.12200550088997615,8,8,0.12200550088997615,late|big|center|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,960,961,late,big,0,1,0.5751254094330369,6,0.252902789363415,8,0.21213721196956004,0.040765577393854946,1.5958876693429018,False,False,0.14545082027939113,0.11301342394127156,edge_high,"[9, 10]",2,0.34220410924026723,0.1968102784364764,10,10,0.10958560720233738,late|big|edge_high|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,960,961,late,small,1,2,0.5378880145082346,4,0.30111174715776323,1,0.19886484476237157,0.10224690239539166,1.572514974817894,False,False,0.16196439982379482,0.11301342394127156,edge_low,"[1, 2]",2,0.3808353608206704,0.2048467760863575,1,1,0.10696701650472035,late|small|edge_low|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,960,961,late,small,1,2,0.5378880145082346,4,0.30111174715776323,1,0.19886484476237157,0.10224690239539166,1.572514974817894,False,False,0.16196439982379482,0.11301342394127156,center,[3],1,0.1870231599268376,0.1005975161601027,3,3,0.1005975161601027,late|small|center|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,960,961,late,small,1,2,0.5378880145082346,4,0.30111174715776323,1,0.19886484476237157,0.10224690239539166,1.572514974817894,False,False,0.16196439982379482,0.11301342394127156,edge_high,"[4, 5]",2,0.4321414792524921,0.23244372226177443,4,4,0.16196439982379482,late|small|edge_high|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,1151,1152,late,big,6,7,0.5464057416347515,7,0.23903207370034388,8,0.21334850464917435,0.02568356905116953,1.5947549729042543,False,False,0.13060849750472897,0.09700813065607988,edge_low,"[6, 7]",2,0.37779239126345376,0.20642793173227367,7,7,0.13060849750472897,late|big|edge_low|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,1151,1152,late,big,6,7,0.5464057416347515,7,0.23903207370034388,8,0.21334850464917435,0.02568356905116953,1.5947549729042543,False,False,0.13060849750472897,0.09700813065607988,center,[8],1,0.21334850464917435,0.11657484790949735,8,8,0.11657484790949735,late|big|center|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,1151,1152,late,big,6,7,0.5464057416347515,7,0.23903207370034388,8,0.21334850464917435,0.02568356905116953,1.5947549729042543,False,False,0.13060849750472897,0.09700813065607988,edge_high,"[9, 10]",2,0.40885910408737197,0.22340296199298054,9,9,0.11351447393639763,late|big|edge_high|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,1151,1152,late,small,5,6,0.5506023890213284,2,0.24663632576618522,3,0.23576201350676998,0.010874312259415236,1.5902036057703823,False,False,0.13579855018630418,0.09700813065607988,edge_low,"[1, 2]",2,0.4538592794219466,0.24989600352922242,2,2,0.13579855018630418,late|small|edge_low|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,1151,1152,late,small,5,6,0.5506023890213284,2,0.24663632576618522,3,0.23576201350676998,0.010874312259415236,1.5902036057703823,False,False,0.13579855018630418,0.09700813065607988,center,[3],1,0.23576201350676998,0.12981112787730625,3,3,0.12981112787730625,late|small|center|same_top1_prev=all
0,8,20,2020-03-02,2020-05-31,1151,1152,late,small,5,6,0.5506023890213284,2,0.24663632576618522,3,0.23576201350676998,0.010874312259415236,1.5902036057703823,False,False,0.13579855018630418,0.09700813065607988,edge_high,"[4, 5]",2,0.3103787070712835,0.1708952576147998,4,4,0.08799681634549379,late|small|edge_high|same_top1_prev=all
1,21,33,2020-06-01,2020-08-30,192,193,control,big,5,6,0.5156327184655647,7,0.2170396920652948,6,0.20891841652819365,0.008121275537101152,1.6068238517235485,False,False,0.11191276643455701,0.0703181602554746,edge_low,"[6, 7]",2,0.4259581085934885,0.21963793748651067,7,7,0.11191276643455701,control|big|edge_low|same_top1_prev=all
1,21,33,2020-06-01,2020-08-30,192,193,control,big,5,6,0.5156327184655647,7,0.2170396920652948,6,0.20891841652819365,0.008121275537101152,1.6068238517235485,False,False,0.11191276643455701,0.0703181602554746,center,[8],1,0.18583551574166482,0.09582287216932488,8,8,0.09582287216932488,control|big|center|same_top1_prev=all
1,21,33,2020-06-01,2020-08-30,192,193,control,big,5,6,0.5156327184655647,7,0.2170396920652948,6,0.20891841652819365,0.008121275537101152,1.6068238517235485,False,False,0.11191276643455701,0.0703181602554746,edge_high,"[9, 10]",2,0.38820637566484667,0.20017190880972913,10,10,0.10734715558223352,control|big|edge_high|same_top1_prev=all
1,21,33,2020-06-01,2020-08-30,192,193,control,small,7,8,0.5546854417899099,5,0.2420933334754779,1,0.2322637062454112,0.009829627230066695,1.5960575657075462,False,False,0.13428564763323744,0.0703181602554746,edge_low,"[1, 2]",2,0.3929609774560464,0.2179697333864019,1,1,0.12883329651049777,control|small|edge_low|same_top1_prev=all
1,21,33,2020-06-01,2020-08-30,192,193,control,small,7,8,0.5546854417899099,5,0.2420933334754779,1,0.2322637062454112,0.009829627230066695,1.5960575657075462,False,False,0.13428564763323744,0.0703181602554746,center,[3],1,0.1962008090512028,0.10882973244810416,3,3,0.10882973244810416,control|small|center|same_top1_prev=all
1,21,33,2020-06-01,2020-08-30,192,193,control,small,7,8,0.5546854417899099,5,0.2420933334754779,1,0.2322637062454112,0.009829627230066695,1.5960575657075462,False,False,0.13428564763323744,0.0703181602554746,edge_high,"[4, 5]",2,0.41083821349275085,0.2278859759554038,5,5,0.13428564763323744,control|small|edge_high|same_top1_prev=all
1,21,33,2020-06-01,2020-08-30,384,385,control,big,6,7,0.5648413078865775,10,0.2269274036921569,7,0.2087284423329295,0.018198961359227384,1.6057764396440217,False,False,0.12817797149678326,0.10070837862350057,edge_low,"[6, 7]",2,0.40394074228770843,0.22816241718246416,7,7,0.11789844636045997,control|big|edge_low|same_top1_prev=all
