candidate_id,baseline_name,preview_cut,lookback_weeks,prior_strength,score_mode,daily_issue_cap,allowed_sums_json,slot_blacklist_json,gate_family,raw_high_threshold,mean_sum_threshold,mid_share_threshold,mean_edge_cap,avg_daily_real_pnl_train,train_bootstrap_ci_low_real,avg_daily_real_pnl_test,test_bootstrap_ci_low_real,test_positive_day_rate,avg_bets_per_day_test,recent30_avg_daily_real_pnl,recent30_bootstrap_ci_low_real,recent60_avg_daily_real_pnl,recent60_bootstrap_ci_low_real,recent120_avg_daily_real_pnl,recent120_bootstrap_ci_low_real,post_2026_01_12_avg_daily_real_pnl,post_2026_01_12_bootstrap_ci_low_real,test_exposure_reduction_pct,acceptance_met,tail_test_bootstrap_ci_low_real,tail_recent30_bootstrap_ci_low_real,tail_recent60_bootstrap_ci_low_real,delta_vs_tail_test_ci_low,delta_vs_tail_recent30_ci_low,delta_vs_tail_recent60_ci_low
intraday_0396,base_nsum_00072,576,39,20,lcb164,8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",[],high_mid,0.08,0.0,0.5,0.93,-0.0049386701097482244,-0.013169786959328598,0.04008438818565401,0.0,0.002109704641350211,0.004219409282700422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9984894259818731,False,-0.048839662447257244,-2.513541666666667,-1.0452916666666663,0.048839662447257244,2.513541666666667,1.0452916666666663
intraday_0436,base_nsum_00072,576,39,20,lcb164,8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",[],high_mid,0.08,0.0,0.5,0.96,-0.008231116849580375,-0.018108457069076822,0.04008438818565401,0.0,0.002109704641350211,0.004219409282700422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9984894259818731,False,-0.048839662447257244,-2.513541666666667,-1.0452916666666663,0.048839662447257244,2.513541666666667,1.0452916666666663
intraday_0476,base_nsum_00072,576,39,20,lcb164,8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",[],high_mid,0.08,0.0,0.5,1.0,-0.010974822466107165,-0.02194964493221433,0.04008438818565401,0.0,0.002109704641350211,0.004219409282700422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9984894259818731,False,-0.048839662447257244,-2.513541666666667,-1.0452916666666663,0.048839662447257244,2.513541666666667,1.0452916666666663
intraday_1356,base_stable_020,576,39,120,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mid,0.08,0.0,0.5,0.93,0.00045190445448676576,-0.008779857972885732,-0.0017932489451476792,-0.005379746835443038,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986187845303868,False,-0.01763185654008427,-0.8040416666666668,-0.4908541666666665,0.012252109704641231,0.8040416666666668,0.4908541666666665
intraday_1396,base_stable_020,576,39,120,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mid,0.08,0.0,0.5,0.96,0.00045190445448676576,-0.008231116849580375,-0.0017932489451476792,-0.005379746835443038,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986187845303868,False,-0.01763185654008427,-0.8040416666666668,-0.4908541666666665,0.012252109704641231,0.8040416666666668,0.4908541666666665
intraday_1436,base_stable_020,576,39,120,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mid,0.08,0.0,0.5,1.0,0.00045190445448676576,-0.007682375726275015,-0.0017932489451476792,-0.005379746835443038,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986187845303868,False,-0.01763185654008427,-0.8040416666666668,-0.4908541666666665,0.012252109704641231,0.8040416666666668,0.4908541666666665
intraday_1836,base_stable_008,576,39,80,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mid,0.08,0.0,0.5,0.93,0.00045190445448676576,-0.007682375726275015,-0.0017932489451476792,-0.005379746835443038,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986187845303868,False,-0.04911128691983112,-0.7933333333333332,-0.3427291666666667,0.04373154008438808,0.7933333333333332,0.3427291666666667
intraday_1876,base_stable_008,576,39,80,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mid,0.08,0.0,0.5,0.96,0.00045190445448676576,-0.008231116849580375,-0.0017932489451476792,-0.005379746835443038,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986187845303868,False,-0.04911128691983112,-0.7933333333333332,-0.3427291666666667,0.04373154008438808,0.7933333333333332,0.3427291666666667
intraday_1916,base_stable_008,576,39,80,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mid,0.08,0.0,0.5,1.0,0.00045190445448676576,-0.007682375726275015,-0.0017932489451476792,-0.007172995780590717,0.0,0.002109704641350211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986187845303868,False,-0.04911128691983112,-0.7933333333333332,-0.3427291666666667,0.0419382911392404,0.7933333333333332,0.3427291666666667
intraday_0387,base_nsum_00072,576,39,20,lcb164,8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",[],high_mid,0.06,0.0,0.5,0.93,-0.009877340219496449,-0.019754680438992898,0.03649789029535865,-0.010759493670886076,0.002109704641350211,0.008438818565400843,0.0,0.0,0.0,0.0,-0.014166666666666666,-0.042499999999999996,0.0,0.0,0.9969788519637462,False,-0.048839662447257244,-2.513541666666667,-1.0452916666666663,0.038080168776371166,2.513541666666667,1.0452916666666663
intraday_0427,base_nsum_00072,576,39,20,lcb164,8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",[],high_mid,0.06,0.0,0.5,0.96,-0.014816010329244674,-0.026339573918657197,0.03649789029535865,-0.010759493670886076,0.002109704641350211,0.008438818565400843,0.0,0.0,0.0,0.0,-0.014166666666666666,-0.042499999999999996,0.0,0.0,0.9969788519637462,False,-0.048839662447257244,-2.513541666666667,-1.0452916666666663,0.038080168776371166,2.513541666666667,1.0452916666666663
intraday_0876,base_nsum_00120,576,39,120,lcb164,8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",[],high_mid,0.08,0.0,0.5,0.93,-0.010426081342801806,-0.020303421562298255,-0.005379746835443038,-0.012552742616033756,0.0,0.006329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977810650887574,False,-0.2215638185654008,-2.481041666666666,-1.2182499999999998,0.20901107594936705,2.481041666666666,1.2182499999999998
intraday_0916,base_nsum_00120,576,39,120,lcb164,8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",[],high_mid,0.08,0.0,0.5,0.96,-0.010426081342801806,-0.020852162685603613,-0.005379746835443038,-0.014345991561181434,0.0,0.006329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977810650887574,False,-0.2215638185654008,-2.481041666666666,-1.2182499999999998,0.20721782700421937,2.481041666666666,1.2182499999999998
intraday_0956,base_nsum_00120,576,39,120,lcb164,8,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",[],high_mid,0.08,0.0,0.5,1.0,-0.013718528082633958,-0.025255810200129115,-0.005379746835443038,-0.014345991561181434,0.0,0.006329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977810650887574,False,-0.2215638185654008,-2.481041666666666,-1.2182499999999998,0.20721782700421937,2.481041666666666,1.2182499999999998
intraday_1395,base_stable_020,576,39,120,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mid,0.08,0.0,0.48,0.96,-0.0039380245319561,-0.014816010329244674,-0.005379746835443038,-0.014345991561181434,0.0,0.006329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958563535911602,False,-0.01763185654008427,-0.8040416666666668,-0.4908541666666665,0.0032858649789028367,0.8040416666666668,0.4908541666666665
intraday_1435,base_stable_020,576,39,120,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mid,0.08,0.0,0.48,1.0,-0.0039380245319561,-0.013826662362814717,-0.005379746835443038,-0.014345991561181434,0.0,0.006329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958563535911602,False,-0.01763185654008427,-0.8040416666666668,-0.4908541666666665,0.0032858649789028367,0.8040416666666668,0.4908541666666665
