month,days,bets,hits,ledger,real,bonus,bankroll_start,bankroll_end,min_bankroll,max_bankroll
2026-01,31,465,41,-140.0,83.5,223.5,1000.0,1083.5,927.0,1645.0
2026-02,28,420,31,-790.0,-533.5,256.5,1083.5,550.0,478.0,1288.5
2026-03,31,465,56,1510.0,1670.5,160.5,550.0,2220.5,528.5,2220.5
2026-04,27,405,40,350.0,549.5,199.5,2220.5,2770.0,2131.0,3371.5
