date,window_active,gate_reason,prior13_real,prior26_real,bankroll_start,bankroll_end,requested_bets,affordable_bets,bets,hits,misses,ledger,real,bonus,drawdown,hit_rate,base_bets,base_hits,base_real
2026-01-01,False,"prior13_real=-169.50, prior26_real=161.50",-169.5,161.5,1000.0,1000.0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,15,2,70.0
2026-01-02,False,"prior13_real=-169.50, prior26_real=161.50",-169.5,161.5,1000.0,1000.0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,15,3,180.0
2026-01-03,False,"prior13_real=-169.50, prior26_real=161.50",-169.5,161.5,1000.0,1000.0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,15,1,-34.0
2026-01-04,False,"prior13_real=-273.50, prior26_real=161.50",-273.5,161.5,1000.0,1000.0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,15,1,-34.0
2026-01-05,False,"prior13_real=-273.50, prior26_real=161.50",-273.5,161.5,1000.0,1000.0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,15,0,-127.5
2026-01-06,False,"prior13_real=-273.50, prior26_real=-256.00",-273.5,-256.0,1000.0,1000.0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,15,0,-127.5
2026-01-07,False,"prior13_real=-367.00, prior26_real=-349.50",-367.0,-349.5,1000.0,1000.0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,15,3,180.0
2026-01-08,False,"prior13_real=-59.50, prior26_real=-349.50",-59.5,-349.5,1000.0,1000.0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,15,1,-34.0
2026-01-09,False,"prior13_real=-59.50, prior26_real=-453.50",-59.5,-453.5,1000.0,1000.0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,15,1,-34.0
2026-01-10,False,"prior13_real=34.00, prior26_real=-453.50",34.0,-453.5,1000.0,1000.0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,15,2,70.0
2026-01-11,False,"prior13_real=231.50, prior26_real=-349.50",231.5,-349.5,1000.0,1000.0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,15,1,-34.0
2026-01-12,False,"prior13_real=17.50, prior26_real=-256.00",17.5,-256.0,1000.0,1000.0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,15,2,70.0
2026-01-13,False,"prior13_real=17.50, prior26_real=-58.50",17.5,-58.5,1000.0,1000.0,0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,15,2,70.0
2026-01-14,True,"prior13_real=215.00, prior26_real=45.50",215.0,45.5,1000.0,1180.0,15,100,15,3,12,180.0,180.0,0.0,0.0,0.2,15,3,180.0
2026-01-15,True,"prior13_real=325.00, prior26_real=155.50",325.0,155.5,1180.0,1250.0,15,118,15,2,13,70.0,70.0,0.0,0.0,0.133333,15,2,70.0
2026-01-16,True,"prior13_real=215.00, prior26_real=45.50",215.0,45.5,1250.0,1430.0,15,125,15,3,12,180.0,180.0,0.0,0.0,0.2,15,3,180.0
2026-01-17,True,"prior13_real=429.00, prior26_real=155.50",429.0,155.5,1430.0,1396.0,15,143,15,1,14,-40.0,-34.0,6.0,-34.0,0.066667,15,1,-34.0
2026-01-18,True,"prior13_real=429.00, prior26_real=155.50",429.0,155.5,1396.0,1268.5,15,139,15,0,15,-150.0,-127.5,22.5,-161.5,0.0,15,0,-127.5
2026-01-19,True,"prior13_real=429.00, prior26_real=155.50",429.0,155.5,1268.5,1338.5,15,126,15,2,13,70.0,70.0,0.0,-91.5,0.133333,15,2,70.0
2026-01-20,True,"prior13_real=626.50, prior26_real=259.50",626.5,259.5,1338.5,1211.0,15,133,15,0,15,-150.0,-127.5,22.5,-219.0,0.0,15,0,-127.5
2026-01-21,True,"prior13_real=319.00, prior26_real=259.50",319.0,259.5,1211.0,1177.0,15,121,15,1,14,-40.0,-34.0,6.0,-253.0,0.066667,15,1,-34.0
2026-01-22,True,"prior13_real=319.00, prior26_real=259.50",319.0,259.5,1177.0,1247.0,15,117,15,2,13,70.0,70.0,0.0,-183.0,0.133333,15,2,70.0
2026-01-23,True,"prior13_real=423.00, prior26_real=457.00",423.0,457.0,1247.0,1119.5,15,124,15,0,15,-150.0,-127.5,22.5,-310.5,0.0,15,0,-127.5
2026-01-24,True,"prior13_real=225.50, prior26_real=457.00",225.5,457.0,1119.5,1085.5,15,111,15,1,14,-40.0,-34.0,6.0,-344.5,0.066667,15,1,-34.0
