month,days,active_days,bets,hits,ledger,real,bonus,bankroll_start,bankroll_end,min_bankroll,max_bankroll
2026-01,31,14,210,19,-10.0,87.5,97.5,1000.0,1087.5,1000.0,1430.0
2026-02,28,0,0,0,0.0,0.0,0.0,1087.5,1087.5,1087.5,1087.5
2026-03,31,19,285,36,1110.0,1230.0,120.0,1087.5,2317.5,1053.5,2317.5
2026-04,27,27,405,40,350.0,549.5,199.5,2317.5,2867.0,2228.0,3468.5
