candidate_id,baseline_name,preview_cut,lookback_weeks,prior_strength,score_mode,daily_issue_cap,allowed_sums_json,slot_blacklist_json,gate_family,raw_high_threshold,mean_sum_threshold,mid_share_threshold,mean_edge_cap,avg_daily_real_pnl_train,train_bootstrap_ci_low_real,avg_daily_real_pnl_test,test_bootstrap_ci_low_real,test_positive_day_rate,avg_bets_per_day_test,recent30_avg_daily_real_pnl,recent30_bootstrap_ci_low_real,recent60_avg_daily_real_pnl,recent60_bootstrap_ci_low_real,recent120_avg_daily_real_pnl,recent120_bootstrap_ci_low_real,post_2026_01_12_avg_daily_real_pnl,post_2026_01_12_bootstrap_ci_low_real,test_exposure_reduction_pct,acceptance_met,tail_test_bootstrap_ci_low_real,tail_recent30_bootstrap_ci_low_real,tail_recent60_bootstrap_ci_low_real,delta_vs_tail_test_ci_low,delta_vs_tail_recent30_ci_low,delta_vs_tail_recent60_ci_low
intraday_1007,base_stable_020,192,39,120,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mid,0.02,0.0,0.46,0.96,0.19189799870884444,0.04986846352485476,0.5226980728051391,0.21817184154175592,0.09850107066381156,0.8907922912205567,1.9283333333333335,0.13800000000000015,1.1775,0.05333333333333344,1.0966666666666667,0.3486145833333333,1.3884615384615384,0.5409203296703298,0.6767676767676767,True,0.21144807280513928,-0.11358333333333326,-0.27708333333333324,0.006723768736616648,0.2515833333333334,0.3304166666666667
intraday_1047,base_stable_020,192,39,120,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mid,0.02,0.0,0.46,1.0,0.19189799870884444,0.03592236927049711,0.5226980728051391,0.22992773019271953,0.09850107066381156,0.8907922912205567,1.9283333333333335,0.13,1.1775,0.029979166666666716,1.0966666666666667,0.27396875000000004,1.3884615384615384,0.2899175824175824,0.6767676767676767,True,0.21144807280513928,-0.11358333333333326,-0.27708333333333324,0.018479657387580256,0.24358333333333326,0.30706249999999996
intraday_0967,base_stable_020,192,39,120,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mid,0.02,0.0,0.46,0.93,0.19189799870884444,0.05950451904454488,0.5226980728051391,0.25589400428265524,0.09850107066381156,0.8907922912205567,1.9283333333333335,0.12945833333333334,1.1775,0.013124999999999994,1.0966666666666667,0.3903958333333334,1.3884615384615384,0.5037912087912088,0.6767676767676767,True,0.21144807280513928,-0.11358333333333326,-0.27708333333333324,0.044445931477515965,0.2430416666666666,0.29020833333333323
intraday_1447,base_stable_008,192,39,80,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mid,0.02,0.0,0.46,0.93,0.19189799870884444,0.05861927049709491,0.5226980728051391,0.2070128479657388,0.09850107066381156,0.8907922912205567,1.9283333333333335,0.011458333333333362,1.1775,0.01658333333333334,1.0966666666666667,0.25338541666666664,1.3884615384615384,0.35337912087912093,0.6767676767676767,True,0.2291916488222699,-0.4321666666666665,-0.13395833333333312,-0.022178800856531095,0.4436249999999998,0.15054166666666646
intraday_1016,base_stable_020,192,39,120,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mid,0.04,0.0,0.46,0.96,0.14364105874757907,0.03140493867010976,0.5430406852248393,0.23036937901498936,0.08779443254817987,0.728051391862955,1.9283333333333335,0.221375,1.0441666666666667,-0.08116666666666658,1.0270833333333333,0.33117708333333346,1.2686813186813186,0.33355769230769244,0.7358197358197358,False,0.21144807280513928,-0.11358333333333326,-0.27708333333333324,0.01892130620985008,0.33495833333333325,0.19591666666666666
intraday_1518,base_stable_008,192,39,80,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",mid_only,0.0,0.0,0.46,0.96,0.4966429954809554,0.2871836668818593,0.6961456102783726,0.264539614561028,0.1905781584582441,2.032119914346895,2.088333333333334,0.15787500000000018,1.1675000000000002,-0.3673333333333332,1.4995833333333335,0.5531770833333334,1.4510989010989008,0.202967032967033,0.26262626262626265,False,0.2291916488222699,-0.4321666666666665,-0.13395833333333312,0.03534796573875809,0.5900416666666667,-0.23337500000000005
intraday_1536,base_stable_008,192,39,80,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mid,0.04,0.0,0.46,1.0,0.14364105874757907,0.028256939961265357,0.5430406852248393,0.26498394004282655,0.08779443254817987,0.728051391862955,1.9283333333333335,0.12825000000000006,1.0441666666666667,-0.13918749999999996,1.0270833333333333,0.225875,1.2686813186813186,0.285260989010989,0.7358197358197358,False,0.2291916488222699,-0.4321666666666665,-0.13395833333333312,0.03579229122055666,0.5604166666666666,-0.00522916666666684
intraday_0976,base_stable_020,192,39,120,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mid,0.04,0.0,0.46,0.93,0.14364105874757907,0.03179712717882507,0.5430406852248393,0.24279443254817992,0.08779443254817987,0.728051391862955,1.9283333333333335,0.09487499999999996,1.0441666666666667,-0.12020833333333324,1.0270833333333333,0.20886458333333338,1.2686813186813186,0.29708791208791224,0.7358197358197358,False,0.21144807280513928,-0.11358333333333326,-0.27708333333333324,0.03134635974304065,0.20845833333333322,0.156875
intraday_0966,base_stable_020,192,39,120,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mid,0.02,0.0,0.44,0.93,0.2231439638476437,0.07350064557779214,0.5837259100642399,0.2678907922912206,0.11777301927194861,1.0749464668094217,1.8150000000000002,0.09425000000000007,1.0641666666666667,-0.07270833333333329,1.0895833333333333,0.33555208333333336,1.4071428571428573,0.4747252747252748,0.60994560994561,False,0.21144807280513928,-0.11358333333333326,-0.27708333333333324,0.056442719486081316,0.20783333333333331,0.20437499999999995
intraday_1056,base_stable_020,192,39,120,lcb2,4,"[9, 10, 11, 12, 13]","[919, 7]",high_mid,0.04,0.0,0.46,1.0,0.14364105874757907,0.010898967075532614,0.5430406852248393,0.2373956102783726,0.08779443254817987,0.728051391862955,1.9283333333333335,0.08612500000000012,1.0441666666666667,-0.034437499999999954,1.0270833333333333,0.30705208333333334,1.2686813186813186,0.37152472527472535,0.7358197358197358,False,0.21144807280513928,-0.11358333333333326,-0.27708333333333324,0.025947537473233334,0.19970833333333338,0.24264583333333328
