week_start,date,day_index_in_week,core_ledger_unit,core_bets,core_implied_spread,exp_ledger_unit,exp_bets,exp_implied_spread,oe_ledger_unit,oe_bets,oe_implied_spread,day_index,policy_id,mode,policy_ledger_unit,policy_real_unit,policy_bets
2025-01-27,2025-01-27,1,-4.139999999999999,60.0,-0.06666666666666664,-4.169999999999998,72.0,-0.055555555555555525,-22.045,40.0,-0.5500000000000002,22,core40_spread_only__exp0_off__oe40_spread_only__cd2,cash,0.0,0.0,0.0
2025-01-27,2025-01-28,2,-4.139999999999999,60.0,-0.06666666666666664,-0.1799999999999986,72.0,1.9564550480941433e-17,7.880000000000002,40.0,0.20000000000000004,23,core40_spread_only__exp0_off__oe40_spread_only__cd2,cash,0.0,0.0,0.0
2025-01-27,2025-01-29,3,-4.139999999999999,60.0,-0.06666666666666664,-2.174999999999998,72.0,-0.02777777777777775,-4.089999999999999,40.0,-0.09999999999999998,24,core40_spread_only__exp0_off__oe40_spread_only__cd2,cash,0.0,0.0,0.0
2025-01-27,2025-01-30,4,-10.124999999999996,60.0,-0.16666666666666657,-12.149999999999997,72.0,-0.1666666666666666,-10.074999999999998,40.0,-0.24999999999999994,25,core40_spread_only__exp0_off__oe40_spread_only__cd2,cash,0.0,0.0,0.0
2025-01-27,2025-01-31,5,7.830000000000001,60.0,0.13333333333333333,9.795000000000002,72.0,0.13888888888888892,5.885000000000001,40.0,0.15,26,core40_spread_only__exp0_off__oe40_spread_only__cd2,cash,0.0,0.0,0.0
2025-01-27,2025-02-01,6,3.8400000000000007,60.0,0.06666666666666668,3.8100000000000014,72.0,0.05555555555555557,-2.0949999999999998,40.0,-0.04999999999999999,27,core40_spread_only__exp0_off__oe40_spread_only__cd2,cash,0.0,0.0,0.0
2025-01-27,2025-02-02,7,-4.139999999999999,60.0,-0.06666666666666664,-2.174999999999998,72.0,-0.02777777777777775,-2.0949999999999984,40.0,-0.04999999999999996,28,core40_spread_only__exp0_off__oe40_spread_only__cd2,cash,0.0,0.0,0.0
2025-02-03,2025-02-03,1,-8.129999999999995,60.0,-0.13333333333333325,-8.159999999999995,72.0,-0.11111111111111102,17.855,40.0,0.45,29,core40_spread_only__exp0_off__oe40_spread_only__cd2,cash,0.0,0.0,0.0
2025-02-03,2025-02-04,2,-4.139999999999999,60.0,-0.06666666666666664,5.8050000000000015,72.0,0.08333333333333334,7.880000000000002,40.0,0.20000000000000004,30,core40_spread_only__exp0_off__oe40_spread_only__cd2,cash,0.0,0.0,0.0
2025-02-03,2025-02-05,3,15.809999999999999,60.0,0.2666666666666666,17.774999999999995,72.0,0.24999999999999992,-8.079999999999998,40.0,-0.19999999999999996,31,core40_spread_only__exp0_off__oe40_spread_only__cd2,cash,0.0,0.0,0.0
2025-02-03,2025-02-06,4,-4.139999999999997,60.0,-0.06666666666666661,-8.159999999999997,72.0,-0.11111111111111105,-8.079999999999998,40.0,-0.19999999999999996,32,core40_spread_only__exp0_off__oe40_spread_only__cd2,cash,0.0,0.0,0.0
2025-02-03,2025-02-07,5,-0.14999999999999858,60.0,2.3912228365595084e-17,-4.169999999999998,72.0,-0.055555555555555525,-8.079999999999998,40.0,-0.19999999999999996,33,core40_spread_only__exp0_off__oe40_spread_only__cd2,cash,0.0,0.0,0.0
